id,closing_price,predict_arima,predict_lstm,predict_hybrid_arima_lstm,datetime_btc
1632,7179.96,,,,"2020-01-01 00:00:00"
1633,7174.74,,,,"2020-01-02 00:00:00"
1634,6955.49,,,,"2020-01-03 00:00:00"
1635,7291.22,,,,"2020-01-04 00:00:00"
1636,7337.64,,,,"2020-01-05 00:00:00"
1637,7347.43,,,,"2020-01-06 00:00:00"
1638,7713.86,,,,"2020-01-07 00:00:00"
1639,8039.6,,,,"2020-01-08 00:00:00"
1640,8067.61,,,,"2020-01-09 00:00:00"
1641,7808.7,,,,"2020-01-10 00:00:00"
1642,8087.45,,,,"2020-01-11 00:00:00"
1643,8078.99,,,,"2020-01-12 00:00:00"
1644,8149.31,,,,"2020-01-13 00:00:00"
1645,8116.96,,,,"2020-01-14 00:00:00"
1646,8735.14,,,,"2020-01-15 00:00:00"
1647,8843.68,,,,"2020-01-16 00:00:00"
1648,8711.64,,,,"2020-01-17 00:00:00"
1649,8925.3,,,,"2020-01-18 00:00:00"
1650,8939.86,,,,"2020-01-19 00:00:00"
1651,8638.18,,,,"2020-01-20 00:00:00"
1652,8652.68,,,,"2020-01-21 00:00:00"
1653,8708.79,,,,"2020-01-22 00:00:00"
1654,8635.07,,,,"2020-01-23 00:00:00"
1655,8384.09,,,,"2020-01-24 00:00:00"
1656,8451.23,,,,"2020-01-25 00:00:00"
1657,8347.57,,,,"2020-01-26 00:00:00"
1658,8562.31,,,,"2020-01-27 00:00:00"
1659,8881.96,,,,"2020-01-28 00:00:00"
1660,9131.12,,,,"2020-01-29 00:00:00"
1661,9320.98,,,,"2020-01-30 00:00:00"
1662,9545.08,,,,"2020-01-31 00:00:00"
1663,9388.88,,,,"2020-02-01 00:00:00"
1664,9363.19,,,,"2020-02-02 00:00:00"
1665,9385.26,,,,"2020-02-03 00:00:00"
1666,9269.71,,,,"2020-02-04 00:00:00"
1667,9177.89,,,,"2020-02-05 00:00:00"
1668,9625.46,,,,"2020-02-06 00:00:00"
1669,9681.38,,,,"2020-02-07 00:00:00"
1670,9795.34,,,,"2020-02-08 00:00:00"
1671,9927.78,,,,"2020-02-09 00:00:00"
1672,10132.7,,,,"2020-02-10 00:00:00"
1673,9838.9,,,,"2020-02-11 00:00:00"
1674,10236.6,,,,"2020-02-12 00:00:00"
1675,10364.9,,,,"2020-02-13 00:00:00"
1676,10218.1,,,,"2020-02-14 00:00:00"
1677,10367.5,,,,"2020-02-15 00:00:00"
1678,9926.35,,,,"2020-02-16 00:00:00"
1679,9876.24,,,,"2020-02-17 00:00:00"
1680,9636.62,,,,"2020-02-18 00:00:00"
1681,10190,,,,"2020-02-19 00:00:00"
1682,9701.04,,,,"2020-02-20 00:00:00"
1683,9631.49,,,,"2020-02-21 00:00:00"
1684,9670.86,,,,"2020-02-22 00:00:00"
1685,9689.09,,,,"2020-02-23 00:00:00"
1686,9919.55,,,,"2020-02-24 00:00:00"
1687,9640.47,,,,"2020-02-25 00:00:00"
1688,9392.87,,,,"2020-02-26 00:00:00"
1689,8787.98,,,,"2020-02-27 00:00:00"
1690,8785,,,,"2020-02-28 00:00:00"
1691,8778.47,,,,"2020-02-29 00:00:00"
1692,8639.59,,,,"2020-03-01 00:00:00"
1693,8548.95,,,,"2020-03-02 00:00:00"
1694,8923.04,,,,"2020-03-03 00:00:00"
1695,8791.11,,,,"2020-03-04 00:00:00"
1696,8756.96,,,,"2020-03-05 00:00:00"
1697,9078.58,,,,"2020-03-06 00:00:00"
1698,9126.64,,,,"2020-03-07 00:00:00"
1699,8925.21,,,,"2020-03-08 00:00:00"
1700,8166.31,,,,"2020-03-09 00:00:00"
1701,7875.75,,,,"2020-03-10 00:00:00"
1702,7959.23,,,,"2020-03-11 00:00:00"
1703,7955.31,,,,"2020-03-12 00:00:00"
1704,5800.21,,,,"2020-03-13 00:00:00"
1705,5672.68,,,,"2020-03-14 00:00:00"
1706,5304.15,,,,"2020-03-15 00:00:00"
1707,5355.19,,,,"2020-03-16 00:00:00"
1708,4944.7,,,,"2020-03-17 00:00:00"
1709,5465.58,,,,"2020-03-18 00:00:00"
1710,5363.82,,,,"2020-03-19 00:00:00"
1711,6301.06,,,,"2020-03-20 00:00:00"
1712,6185.28,,,,"2020-03-21 00:00:00"
1713,6187.05,,,,"2020-03-22 00:00:00"
1714,5884.34,,,,"2020-03-23 00:00:00"
1715,6455.45,,,,"2020-03-24 00:00:00"
1716,6784.32,,,,"2020-03-25 00:00:00"
1717,6706.98,,,,"2020-03-26 00:00:00"
1718,6721.5,,,,"2020-03-27 00:00:00"
1719,6682.78,,,,"2020-03-28 00:00:00"
1720,6229.49,,,,"2020-03-29 00:00:00"
1721,5922.49,,,,"2020-03-30 00:00:00"
1722,6483.74,,,,"2020-03-31 00:00:00"
1723,6446.42,,,,"2020-04-01 00:00:00"
1724,6537.34,,,,"2020-04-02 00:00:00"
1725,6850.56,,,,"2020-04-03 00:00:00"
1726,6776.37,,,,"2020-04-04 00:00:00"
1727,6855.93,,,,"2020-04-05 00:00:00"
1728,6805.36,,,,"2020-04-06 00:00:00"
1729,7278.24,,,,"2020-04-07 00:00:00"
1730,7175.67,,,,"2020-04-08 00:00:00"
1731,7367.29,,,,"2020-04-09 00:00:00"
1732,7321.82,,,,"2020-04-10 00:00:00"
1733,6866.4,,,,"2020-04-11 00:00:00"
1734,6873.85,,,,"2020-04-12 00:00:00"
1735,7043.44,,,,"2020-04-13 00:00:00"
1736,6889.86,,,,"2020-04-14 00:00:00"
1737,6887.55,,,,"2020-04-15 00:00:00"
1738,6718.8,,,,"2020-04-16 00:00:00"
1739,7166.58,,,,"2020-04-17 00:00:00"
1740,7065.08,,,,"2020-04-18 00:00:00"
1741,7277.14,,,,"2020-04-19 00:00:00"
1742,7185.87,,,,"2020-04-20 00:00:00"
1743,6856.15,,,,"2020-04-21 00:00:00"
1744,6904.48,,,,"2020-04-22 00:00:00"
1745,7118.39,,,,"2020-04-23 00:00:00"
1746,7562.03,,,,"2020-04-24 00:00:00"
1747,7497.86,,,,"2020-04-25 00:00:00"
1748,7542.3,,,,"2020-04-26 00:00:00"
1749,7624.85,,,,"2020-04-27 00:00:00"
1750,7776.51,,,,"2020-04-28 00:00:00"
1751,7761.76,,,,"2020-04-29 00:00:00"
1752,8773.11,,,,"2020-04-30 00:00:00"
1753,8767.67,,,,"2020-05-01 00:00:00"
1754,8853.77,,,,"2020-05-02 00:00:00"
1755,8963.06,,,,"2020-05-03 00:00:00"
1756,8904.71,,,,"2020-05-04 00:00:00"
1757,8887.51,,,,"2020-05-05 00:00:00"
1758,8978.28,,,,"2020-05-06 00:00:00"
1759,9371.68,,,,"2020-05-07 00:00:00"
1760,9900.68,,,,"2020-05-08 00:00:00"
1761,9917.25,,,,"2020-05-09 00:00:00"
1762,9617.52,,,,"2020-05-10 00:00:00"
1763,8786.66,,,,"2020-05-11 00:00:00"
1764,8608.12,,,,"2020-05-12 00:00:00"
1765,8815.23,,,,"2020-05-13 00:00:00"
1766,9330.99,,,,"2020-05-14 00:00:00"
1767,9757.3,,,,"2020-05-15 00:00:00"
1768,9362.64,,,,"2020-05-16 00:00:00"
1769,9418.92,,,,"2020-05-17 00:00:00"
1770,9684.7,,,,"2020-05-18 00:00:00"
1771,9723.68,,,,"2020-05-19 00:00:00"
1772,9719.48,,,,"2020-05-20 00:00:00"
1773,9540.89,,,,"2020-05-21 00:00:00"
1774,9141.15,,,,"2020-05-22 00:00:00"
1775,9192.84,,,,"2020-05-23 00:00:00"
1776,9220.08,,,,"2020-05-24 00:00:00"
1777,9048.71,,,,"2020-05-25 00:00:00"
1778,8905.78,,,,"2020-05-26 00:00:00"
1779,8835.73,,,,"2020-05-27 00:00:00"
1780,9112.98,,,,"2020-05-28 00:00:00"
1781,9507.52,,,,"2020-05-29 00:00:00"
1782,9425.28,,,,"2020-05-30 00:00:00"
1783,9688.32,,,,"2020-05-31 00:00:00"
1784,9427.67,,,,"2020-06-01 00:00:00"
