id,closing_price,predict_arima,predict_lstm,predict_hybrid_arima_lstm,datetime_eth
1,128.723,,,,"2020-01-01 00:00:00"
2,129.887,,,,"2020-01-02 00:00:00"
3,127.056,,,,"2020-01-03 00:00:00"
4,132.971,,,,"2020-01-04 00:00:00"
5,133.821,,,,"2020-01-05 00:00:00"
6,134.834,,,,"2020-01-06 00:00:00"
7,143.132,,,,"2020-01-07 00:00:00"
8,142.133,,,,"2020-01-08 00:00:00"
9,140.339,,,,"2020-01-09 00:00:00"
10,137.495,,,,"2020-01-10 00:00:00"
11,142.835,,,,"2020-01-11 00:00:00"
12,143.072,,,,"2020-01-12 00:00:00"
13,145.281,,,,"2020-01-13 00:00:00"
14,143.937,,,,"2020-01-14 00:00:00"
15,163.855,,,,"2020-01-15 00:00:00"
16,166.538,,,,"2020-01-16 00:00:00"
17,163.937,,,,"2020-01-17 00:00:00"
18,171.589,,,,"2020-01-18 00:00:00"
19,176.7,,,,"2020-01-19 00:00:00"
20,166.063,,,,"2020-01-20 00:00:00"
21,167.573,,,,"2020-01-21 00:00:00"
22,169.054,,,,"2020-01-22 00:00:00"
23,167.152,,,,"2020-01-23 00:00:00"
24,162.671,,,,"2020-01-24 00:00:00"
25,162.807,,,,"2020-01-25 00:00:00"
26,160.918,,,,"2020-01-26 00:00:00"
27,166.722,,,,"2020-01-27 00:00:00"
28,169.8,,,,"2020-01-28 00:00:00"
29,173.548,,,,"2020-01-29 00:00:00"
30,175.46,,,,"2020-01-30 00:00:00"
31,186.262,,,,"2020-01-31 00:00:00"
32,181.728,,,,"2020-02-01 00:00:00"
33,182.774,,,,"2020-02-02 00:00:00"
34,189.313,,,,"2020-02-03 00:00:00"
35,189.258,,,,"2020-02-04 00:00:00"
36,188.675,,,,"2020-02-05 00:00:00"
37,204.531,,,,"2020-02-06 00:00:00"
38,211.292,,,,"2020-02-07 00:00:00"
39,221.833,,,,"2020-02-08 00:00:00"
40,224.029,,,,"2020-02-09 00:00:00"
41,228.044,,,,"2020-02-10 00:00:00"
42,223.32,,,,"2020-02-11 00:00:00"
43,237.878,,,,"2020-02-12 00:00:00"
44,268.396,,,,"2020-02-13 00:00:00"
45,266.252,,,,"2020-02-14 00:00:00"
46,284,,,,"2020-02-15 00:00:00"
47,267.353,,,,"2020-02-16 00:00:00"
