Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price
BTC,2020-05-21,9540.886567,9719.254489,9834.557819,9332.915196,0.954088657
BTC,2020-05-22,9141.150637,9540.208922,9571.081815,8806.742839,0.914115064
BTC,2020-05-23,9192.845136,9139.890401,9265.2516,8934.380728,0.919284514
BTC,2020-05-24,9220.075887,9192.845255,9311.849338,9093.834315,0.922007589
BTC,2020-05-25,9048.715119,9219.746036,9301.179312,8856.470863,0.904871512
BTC,2020-05-26,8905.781605,9048.692372,9051.69296,8645.212548,0.89057816
BTC,2020-05-27,8835.727224,8905.746922,9010.897443,8707.124072,0.883572722
BTC,2020-05-28,9112.979176,8835.727224,9224.744965,8820.549193,0.911297918
BTC,2020-05-29,9507.524665,9113.177836,9523.457474,9008.05845,0.950752466
BTC,2020-05-30,9425.281869,9507.563792,9621.613231,9335.814886,0.942528187
BTC,2020-05-31,9688.32439,9434.033792,9732.943979,9334.912832,0.968832439
BTC,2020-06-01,9427.670084,9688.539932,9698.140854,9394.275387,0.942767008
BTC,2020-06-02,10268.58198,9427.232535,10357.78917,9417.354212,1.026858198
BTC,2020-06-03,9516.135443,10268.23188,10292.7031,9298.92095,0.951613544
BTC,2020-06-04,9667.060754,9516.379828,9680.206444,9406.971187,0.966706075
BTC,2020-06-05,9811.367095,9667.085402,9875.662127,9472.251048,0.981136709
BTC,2020-06-06,9659.661298,9811.829378,9860.231447,9619.617459,0.96596613
BTC,2020-06-07,9677.050995,9659.053118,9736.271128,9542.773398,0.967705099
BTC,2020-06-08,9737.458559,9677.050684,9804.446487,9392.842926,0.973745856
BTC,2020-06-09,9791.9279,9737.457447,9803.573516,9652.310114,0.97919279
BTC,2020-06-10,9786.14202,9790.073884,9870.519387,9610.024354,0.978614202
BTC,2020-06-11,9874.967048,9787.914131,9979.715526,9711.85958,0.987496705
BTC,2020-06-12,9260.832641,9875.014214,9962.180331,9108.473046,0.926083264
BTC,2020-06-13,9464.228097,9261.481444,9558.770602,9238.389181,0.94642281
BTC,2020-06-14,9458.659754,9464.086079,9492.899884,9359.847047,0.945865975
BTC,2020-06-15,9351.953728,9458.659753,9481.697453,9250.032408,0.935195373
BTC,2020-06-16,9441.768996,9351.605477,9498.609999,8910.198265,0.9441769
BTC,2020-06-17,9510.660637,9442.016988,9595.222935,9380.74608,0.951066064
BTC,2020-06-18,9457.627074,9510.641266,9557.46842,9240.646056,0.945762707
BTC,2020-06-19,9398.642094,9457.464837,9480.374487,9276.427094,0.939864209
BTC,2020-06-20,9279.760765,9398.685603,9427.177661,9236.657272,0.927976077
BTC,2020-06-21,9353.078196,9278.469146,9391.025094,9178.382279,0.93530782
BTC,2020-06-22,9289.104491,9353.078187,9412.648505,9278.923226,0.928910449
BTC,2020-06-23,9680.947128,9288.60316,9775.102839,9272.796157,0.968094713
BTC,2020-06-24,9609.680246,9680.947129,9720.765241,9576.910848,0.960968025
BTC,2020-06-25,9311.136318,9609.680246,9678.98608,9206.958895,0.931113632
BTC,2020-06-26,9252.633372,9310.989646,9333.346057,9002.374468,0.925263337
BTC,2020-06-27,9171.732086,9252.684713,9292.245367,9046.231365,0.917173209
