Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Close
BTC,1/1/2021,29111.52157,28872.82977,29280.04533,27916.62506,2.911152157
BTC,1/2/2021,29333.60512,28935.81098,29601.5949,28753.41231,2.933360512
BTC,1/3/2021,32154.16736,29353.64061,33064.67353,29012.92789,3.215416736
BTC,1/4/2021,33002.53643,32074.10661,34452.08034,31885.58162,3.300253643
BTC,1/5/2021,31431.61228,32788.58345,33358.39935,28154.1103,3.143161228
BTC,1/6/2021,34433.60651,31991.92686,34435.41748,29948.65363,3.443360651
BTC,1/7/2021,36275.75635,34001.34476,36461.69177,33351.02812,3.627575635
BTC,1/8/2021,39713.50786,36806.41976,40324.01403,36356.43076,3.971350786
BTC,1/9/2021,40519.4486,39420.8007,41962.36213,36741.33018,4.05194486
BTC,1/10/2021,40258.92399,40558.10212,41375.43068,38766.27616,4.025892399
BTC,1/11/2021,38709.76537,40096.3332,41186.52343,34897.55047,3.870976537
BTC,1/12/2021,34409.64238,38132.53579,38204.75441,30305.30005,3.440964238
BTC,1/13/2021,34214.61026,35432.85914,36566.90906,32538.94117,3.421461026
BTC,1/14/2021,37017.0075,34070.32562,37798.8601,32470.58526,3.70170075
BTC,1/15/2021,38435.86351,37373.16196,40066.31976,36770.79512,3.843586351
BTC,1/16/2021,36751.58497,39127.67852,39673.0723,34425.48794,3.675158497
BTC,1/17/2021,36016.77961,36752.77118,37943.51217,35398.86752,3.601677961
BTC,1/18/2021,36375.81138,36016.75309,36840.13285,33870.13838,3.637581138
BTC,1/19/2021,36346.6095,35847.83342,37440.40401,34816.28925,3.63466095
BTC,1/20/2021,36577.51965,36639.98591,37876.15893,36136.53557,3.657751965
BTC,1/21/2021,35004.53263,35909.43225,36409.7086,33430.82199,3.500453263
BTC,1/22/2021,30606.18268,35491.42392,35612.7372,30077.27896,3.060618268
BTC,1/23/2021,33368.36593,30844.83315,33873.77299,28845.31148,3.336836593
BTC,1/24/2021,32070.09743,33000.44664,33501.24845,31451.2963,3.207009743
BTC,1/25/2021,32285.72613,32107.39182,33088.54855,30987.70386,3.228572613
BTC,1/26/2021,32500.25596,32297.50417,34893.98402,31949.28237,3.250025596
BTC,1/27/2021,32324.55565,32270.82562,32770.80461,31062.54953,3.232455565
BTC,1/28/2021,30534.99937,32497.84846,32570.2815,29452.78559,3.053499937
BTC,1/29/2021,33408.21834,30426.0844,33481.48542,29921.96008,3.340821834
BTC,1/30/2021,34842.55739,33424.59559,38468.07829,31984.00892,3.484255739
BTC,1/31/2021,34622.37323,34265.37666,34920.29115,32945.36998,3.462237323
BTC,2/1/2021,33087.36986,34304.23451,34373.73401,32229.54518,3.308736986
BTC,2/2/2021,33613.32076,33138.77651,34715.65573,32341.98991,3.361332076
BTC,2/3/2021,35632.90195,33525.28825,36008.31082,33437.74691,3.563290195
BTC,2/4/2021,37397.42636,35519.70777,37505.30371,35416.73178,3.739742636
BTC,2/5/2021,37256.25211,37645.94564,38731.08795,36207.49431,3.725625211
BTC,2/6/2021,37851.59659,36970.81227,38332.41692,36637.64562,3.785159659
BTC,2/7/2021,40302.79979,38305.27539,40999.04684,38233.72667,4.030279979
BTC,2/8/2021,38461.6814,39253.22773,39698.0659,37388.34169,3.84616814
BTC,2/9/2021,44716.68547,38853.29945,44981.86,38036.28325,4.471668547
BTC,2/10/2021,46674.85169,46433.48964,48226.25089,45058.069,4.667485169
BTC,2/11/2021,45237.47569,46512.99056,47374.35591,43886.27604,4.523747569
BTC,2/12/2021,47500.89752,44859.84767,48600.63193,44070.72706,4.750089752
BTC,2/13/2021,47884.18286,47992.62291,48925.53448,46550.14795,4.788418286
BTC,2/14/2021,47005.19065,47405.55715,48189.77799,46333.57366,4.700519065
BTC,2/15/2021,49151.16758,47231.13334,49716.43638,47105.17175,4.915116758
BTC,2/16/2021,48125.9922,48654.83072,49037.91611,45926.25155,4.81259922
BTC,2/17/2021,48840.41447,47944.48497,50584.84895,47088.83608,4.884041447
BTC,2/18/2021,52165.30256,49186.33387,52621.83507,48990.89519,5.216530256
BTC,2/19/2021,51728.5088,52146.00339,52532.29712,50971.74318,5.17285088
BTC,2/20/2021,55719.20436,51598.14371,56283.54984,50821.47282,5.571920436
BTC,2/21/2021,54801.64864,55917.03918,57487.02831,54039.67392,5.480164864
BTC,2/22/2021,57128.64261,55913.35145,58332.36462,55531.5507,5.712864261
BTC,2/23/2021,54181.91465,57453.35801,57535.86348,47780.74958,5.418191465
BTC,2/24/2021,48172.87748,54124.53909,54180.23218,45047.78286,4.817287748
BTC,2/25/2021,48745.43298,48923.03508,51413.61356,47032.52426,4.874543298
BTC,2/26/2021,48291.41208,49746.65163,52076.31772,47501.6748,4.829141208
BTC,2/27/2021,45752.11492,47135.55173,48453.73863,44279.44954,4.575211492
BTC,2/28/2021,46642.60608,46326.82407,48353.001,46207.70578,4.664260608
BTC,3/1/2021,45092.80657,46204.05856,46675.19785,43119.15702,4.509280657
BTC,3/2/2021,49248.91401,45234.36876,49520.72499,45044.38376,4.924891401
BTC,3/3/2021,47900.77688,49636.02146,50211.43717,47200.04217,4.790077688
BTC,3/4/2021,50811.85517,48526.99036,52636.22299,48195.1231,5.081185517
BTC,3/5/2021,48259.48708,50433.43615,51781.96783,47578.30723,4.825948708
BTC,3/6/2021,49149.73083,48404.21363,49462.13301,46393.39146,4.914973083
BTC,3/7/2021,48879.1519,48791.79051,49173.76187,47127.04097,4.88791519
BTC,3/8/2021,50594.69857,48887.56641,51222.8723,48887.56641,5.059469857
BTC,3/9/2021,51503.25813,50948.88071,51916.41395,49390.18272,5.150325813
BTC,3/10/2021,54458.03781,52360.74816,54804.07845,51865.59003,5.445803781
BTC,3/11/2021,56915.17394,54924.68653,57336.74541,53101.23637,5.691517394
BTC,3/12/2021,57636.75796,55898.86482,58034.70396,54323.6085,5.763675796
BTC,3/13/2021,57306.16626,57817.27021,58077.9516,55116.25835,5.730616626
BTC,3/14/2021,60743.04182,57227.23345,61556.59449,56124.14999,6.074304182
BTC,3/15/2021,60197.90199,60972.49128,61453.05834,59275.70383,6.019790199
BTC,3/16/2021,56300.33411,58962.48846,60570.69365,54790.32931,5.630033411
BTC,3/17/2021,56639.78395,55668.62353,56821.88244,53350.36773,5.663978395
BTC,3/18/2021,58567.28378,56908.56502,58923.54893,54201.70163,5.856728378
BTC,3/19/2021,57983.09474,58883.01836,60074.36985,57075.06857,5.798309474
BTC,3/20/2021,58451.73147,57661.41518,59461.77526,56327.79283,5.845173147
BTC,3/21/2021,58593.60245,58127.68804,59919.21177,57914.89451,5.859360245
BTC,3/22/2021,57796.46737,58139.30027,58649.13419,55645.05427,5.779646737
