Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing Price
BTC,4/18/2020,7065.082389,7162.527231,7200.317209,6996.149109,7.065082389
BTC,4/19/2020,7277.140586,7065.066086,7301.814371,7029.015961,7.277140586
BTC,4/20/2020,7185.870303,7277.140654,7292.862985,7066.947185,7.185870303
BTC,4/21/2020,6856.146435,7185.870831,7221.915907,6764.430699,6.856146435
BTC,4/22/2020,6904.475773,6856.146426,6954.005137,6782.239371,6.904475773
BTC,4/23/2020,7118.388748,6904.476221,7165.520004,6831.947906,7.118388748
BTC,4/24/2020,7562.032832,7118.388915,7725.671699,7037.554845,7.562032832
BTC,4/25/2020,7497.861764,7556.01926,7608.311143,7407.266922,7.497861764
BTC,4/26/2020,7542.303401,7497.859881,7702.01898,7445.685898,7.542303401
BTC,4/27/2020,7624.853786,7542.303101,7707.594271,7503.770143,7.624853786
BTC,4/28/2020,7776.507543,7624.854338,7798.276656,7621.487082,7.776507543
BTC,4/29/2020,7761.758784,7788.574229,7793.636018,7677.178774,7.761758784
BTC,4/30/2020,8773.106488,7761.758619,8973.079277,7725.542654,8.773106488
BTC,5/1/2020,8767.672623,8768.04718,9469.078423,8415.47474,8.767672623
BTC,5/2/2020,8853.774484,8767.672143,9073.81753,8593.380363,8.853774484
BTC,5/3/2020,8963.057558,8850.788756,9037.341927,8780.037925,8.963057558
BTC,5/4/2020,8904.713817,9002.396916,9223.385534,8747.433419,8.904713817
BTC,5/5/2020,8887.505893,8904.559394,8968.532234,8539.511107,8.887505893
BTC,5/6/2020,8978.283587,8887.507473,9112.866151,8784.09959,8.978283587
BTC,5/7/2020,9371.684273,9032.183227,9392.635447,8927.777068,9.371684273
BTC,5/8/2020,9900.678867,9371.67997,9958.733998,9065.921045,9.900678867
BTC,5/9/2020,9917.248414,9903.830754,10062.71591,9732.806548,9.917248414
BTC,5/10/2020,9617.518195,9917.253174,9957.110928,9546.040993,9.617518195
BTC,5/11/2020,8786.655182,9616.377064,9650.018603,8166.492188,8.786655182
BTC,5/12/2020,8608.125245,8733.637943,9176.18639,8206.331505,8.608125245
BTC,5/13/2020,8815.231245,8608.119937,8980.624505,8509.564215,8.815231245
BTC,5/14/2020,9330.986485,8823.780831,9416.590183,8802.91656,9.330986485
BTC,5/15/2020,9757.296586,9330.985268,9940.956082,9273.416587,9.757296586
BTC,5/16/2020,9362.635557,9795.282556,9848.185361,9155.515351,9.362635557
BTC,5/17/2020,9418.918551,9362.636646,9583.062439,9219.362205,9.418918551
BTC,5/18/2020,9684.701959,9418.913715,9879.71204,9327.763833,9.684701959
BTC,5/19/2020,9723.68015,9673.836632,9933.976225,9523.848992,9.72368015
BTC,5/20/2020,9719.480854,9723.316993,9899.775994,9473.742266,9.719480854
BTC,5/21/2020,9540.886567,9719.254489,9834.557819,9332.915196,9.540886567
BTC,5/22/2020,9141.150637,9540.208922,9571.081815,8806.742839,9.141150637
BTC,5/23/2020,9192.845136,9139.890401,9265.2516,8934.380728,9.192845136
BTC,5/24/2020,9220.075887,9192.845255,9311.849338,9093.834315,9.220075887
BTC,5/25/2020,9048.715119,9219.746036,9301.179312,8856.470863,9.048715119
BTC,5/26/2020,8905.781605,9048.692372,9051.69296,8645.212548,8.905781605
BTC,5/27/2020,8835.727224,8905.746922,9010.897443,8707.124072,8.835727224
BTC,5/28/2020,9112.979176,8835.727224,9224.744965,8820.549193,9.112979176
BTC,5/29/2020,9507.524665,9113.177836,9523.457474,9008.05845,9.507524665
BTC,5/30/2020,9425.281869,9507.563792,9621.613231,9335.814886,9.425281869
BTC,5/31/2020,9688.32439,9434.033792,9732.943979,9334.912832,9.68832439
BTC,6/1/2020,9427.670084,9688.539932,9698.140854,9394.275387,9.427670084
